"GRD_ID","bio10","bio12","bio4"
"CRS3035RES5000mN2510000E3905000",20.3542308807373,851.239562988281,640.130187988281
"CRS3035RES5000mN2510000E3910000",20.9419555664062,833.971862792969,649.423034667969
"CRS3035RES5000mN2510000E3915000",20.7313461303711,836.299255371094,645.805541992188
"CRS3035RES5000mN2510000E3920000",20.6192760467529,873.685424804688,644.438415527344
"CRS3035RES5000mN2510000E3925000",20.4894599914551,898.002380371094,643.320678710938
"CRS3035RES5000mN2510000E3930000",20.2602577209473,947.902954101562,641.003295898438
"CRS3035RES5000mN2510000E3935000",20.2107582092285,963.208862304688,643.048767089844
"CRS3035RES5000mN1770000E2805000",25.1996879577637,651.824584960938,548.404174804688
"CRS3035RES5000mN2510000E3940000",20.4950923919678,921.695007324219,650.437194824219
"CRS3035RES5000mN2510000E3945000",20.852933883667,884.931213378906,659.156921386719
"CRS3035RES5000mN2510000E3950000",20.7835235595703,905.409362792969,661.165466308594
"CRS3035RES5000mN2510000E3955000",20.2886505126953,995.66357421875,656.432250976562
"CRS3035RES5000mN2510000E3960000",20.2737083435059,1090.66613769531,659.199584960938
"CRS3035RES5000mN2510000E3965000",20.4203281402588,1120.55786132812,665.29541015625
"CRS3035RES5000mN2510000E3970000",20.9500217437744,1065.81457519531,678.759948730469
"CRS3035RES5000mN2510000E3975000",21.1986885070801,1018.80084228516,686.468444824219
"CRS3035RES5000mN2510000E3980000",20.6724395751953,1156.87658691406,680.783752441406
"CRS3035RES5000mN2510000E3985000",18.6806755065918,1483.30932617188,649.547668457031
"CRS3035RES5000mN1770000E2810000",25.4676780700684,635.690734863281,553.995178222656
"CRS3035RES5000mN2510000E3990000",17.6180629730225,1574.25012207031,636.800109863281
"CRS3035RES5000mN2510000E3995000",19.4970741271973,1684.47802734375,670.637756347656
"CRS3035RES5000mN2510000E4000000",20.7069091796875,1325.98657226562,693.095886230469
"CRS3035RES5000mN2510000E4005000",14.3053722381592,1738.03942871094,610.379211425781
"CRS3035RES5000mN2510000E4010000",14.0452690124512,1863.1953125,622.382446289062
"CRS3035RES5000mN2510000E4015000",14.78675365448,1708.23986816406,648.701293945312
"CRS3035RES5000mN2510000E4020000",16.3505420684814,1365.67114257812,678.8603515625
"CRS3035RES5000mN2510000E4025000",12.8334217071533,1710.26782226562,666.567321777344
"CRS3035RES5000mN2510000E4030000",17.3170604705811,1641.58642578125,703.339050292969
"CRS3035RES5000mN2510000E4035000",20.1940441131592,1373.431640625,721.158447265625
"CRS3035RES5000mN1770000E2815000",25.4512882232666,657.710327148438,558.362670898438
"CRS3035RES5000mN2510000E4040000",17.6951465606689,1552.25769042969,715.399658203125
"CRS3035RES5000mN2510000E4045000",10.6786527633667,2192.5859375,707.34326171875
"CRS3035RES5000mN2510000E4050000",12.9304027557373,2231.84912109375,717.719848632812
"CRS3035RES5000mN2510000E4055000",11.2301111221313,2011.39135742188,724.038818359375
"CRS3035RES5000mN2510000E4060000",8.52695465087891,2353.10766601562,729.5234375
"CRS3035RES5000mN2510000E4065000",10.3702096939087,2145.81201171875,733.336853027344
"CRS3035RES5000mN2510000E4070000",9.21262741088867,2221.77807617188,733.708679199219
"CRS3035RES5000mN2510000E4075000",8.44781875610352,2522.26904296875,731.279724121094
"CRS3035RES5000mN2510000E4080000",9.33550357818604,2257.40893554688,727.831604003906
"CRS3035RES5000mN2510000E4085000",6.81833219528198,2222.85278320312,726.036254882812
"CRS3035RES5000mN1770000E2820000",25.7221755981445,673.456420898438,563.81884765625
"CRS3035RES5000mN2510000E4090000",9.66162109375,1868.35144042969,725.948181152344
"CRS3035RES5000mN2510000E4095000",14.6261405944824,1198.08837890625,726.878540039062
"CRS3035RES5000mN2510000E4100000",17.2171306610107,860.088745117188,727.22900390625
"CRS3035RES5000mN2510000E4105000",15.0148429870605,958.898742675781,728.344604492188
"CRS3035RES5000mN2510000E4110000",12.3625745773315,1133.53857421875,729.909362792969
"CRS3035RES5000mN2510000E4115000",8.73222827911377,1385.75207519531,733.982666015625
"CRS3035RES5000mN2510000E4120000",11.4612321853638,1286.36145019531,733.457763671875
"CRS3035RES5000mN2510000E4125000",11.98903465271,1183.35681152344,733.109252929688
"CRS3035RES5000mN2510000E4130000",11.1362581253052,1264.142578125,732.978332519531
"CRS3035RES5000mN2510000E4135000",17.067081451416,902.962158203125,724.854064941406
"CRS3035RES5000mN1770000E2825000",25.7921142578125,712.771362304688,569.122985839844
"CRS3035RES5000mN2510000E4140000",17.6003074645996,800.670471191406,721.979248046875
"CRS3035RES5000mN2510000E4145000",10.8088493347168,1344.33935546875,720.863403320312
"CRS3035RES5000mN2510000E4150000",11.1385593414307,1643.43737792969,714.384582519531
"CRS3035RES5000mN2510000E4155000",12.0878896713257,1471.28686523438,703.6181640625
"CRS3035RES5000mN2510000E4160000",12.489369392395,1760.74865722656,694.226684570312
