"grid_id","area_total","area_land","percent_land"
"CRS3035RES50000mN1850000E3800000",2500.01911558709,468.487781932646,18.7393679916975
"CRS3035RES50000mN1850000E4150000",2500.01912714876,515.959214584986,20.6382106833491
"CRS3035RES50000mN1850000E4200000",2500.01912777239,2500.01912777239,100
"CRS3035RES50000mN1850000E4250000",2500.01912813854,2206.7332797255,88.268655822989
"CRS3035RES50000mN1850000E4750000",2500.01911763731,66.3543786753299,2.65415485054528
"CRS3035RES50000mN1850000E4800000",2500.01911517601,1575.10104630403,63.0035601225046
"CRS3035RES50000mN1850000E4850000",2500.01911245992,1865.16183039458,74.6059028548521
"CRS3035RES50000mN1850000E4900000",2500.01910948933,162.59456424574,6.50373285662414
"CRS3035RES50000mN1850000E5000000",2500.01910278748,37.5655095134726,1.50260889893152
"CRS3035RES50000mN1900000E2600000",2500.01898773508,17.0057020566454,0.680222915908806
"CRS3035RES50000mN1900000E2650000",2500.01899604344,1587.75622826023,63.5097665566956
"CRS3035RES50000mN1900000E2700000",2500.0190041237,2498.13338407327,99.9245757713311
"CRS3035RES50000mN1900000E2750000",2500.01901197406,2500.01901197406,100
"CRS3035RES50000mN1900000E2800000",2500.0190195926,2500.0190195926,100
"CRS3035RES50000mN1900000E2850000",2500.01902697768,2500.01902697768,100
"CRS3035RES50000mN1900000E2900000",2500.01903412708,2500.01903412708,100
"CRS3035RES50000mN1900000E2950000",2500.01904103946,2500.01904103946,100
"CRS3035RES50000mN1900000E3000000",2500.01904771313,2500.01904771313,100
"CRS3035RES50000mN1900000E3050000",2500.01905414659,2500.01905414659,100
"CRS3035RES50000mN1900000E3100000",2500.01906033858,2500.01906033858,100
"CRS3035RES50000mN1900000E3150000",2500.01906628715,2500.01906628715,100
"CRS3035RES50000mN1900000E3200000",2500.01907199162,2500.01907199162,100
"CRS3035RES50000mN1900000E3250000",2500.0190774504,2500.0190774504,100
"CRS3035RES50000mN1900000E3300000",2500.01908266211,2500.01908266211,100
"CRS3035RES50000mN1900000E3350000",2500.01908762569,2500.01908762569,100
"CRS3035RES50000mN1900000E3400000",2500.01909234032,2448.85549348707,97.9534716750758
"CRS3035RES50000mN1900000E3450000",2500.01909680457,644.317322327686,25.7724960241795
"CRS3035RES50000mN1900000E3700000",2500.01911534131,3.53779731537914,0.141510810604188
"CRS3035RES50000mN1900000E3750000",2500.01911828625,53.615391487704,2.14459925908315
"CRS3035RES50000mN1900000E3800000",2500.01912097528,106.232396103452,4.24926334411434
"CRS3035RES50000mN1900000E4150000",2500.01913259523,866.418221676792,34.6564636398352
"CRS3035RES50000mN1900000E4200000",2500.01913322204,2500.01913322204,100
"CRS3035RES50000mN1900000E4250000",2500.01913358993,2330.88867723614,93.234833522617
"CRS3035RES50000mN1900000E4300000",2500.01913369864,81.8664721890952,3.2746338252211
"CRS3035RES50000mN1900000E4700000",2500.01912525281,223.225174769797,8.92893868350802
"CRS3035RES50000mN1900000E4750000",2500.01912303612,2264.69914912901,90.5872730436825
"CRS3035RES50000mN1900000E4800000",2500.0191205623,2481.54544629369,99.2610586808453
"CRS3035RES50000mN1900000E4850000",2500.01911783225,2195.14409387652,87.8050922978508
"CRS3035RES50000mN1900000E4900000",2500.01911484647,49.5744699406793,1.98296363600899
"CRS3035RES50000mN1900000E4950000",2500.01911160589,308.559077202751,12.3422687358797
"CRS3035RES50000mN1900000E5000000",2500.01910811088,1909.64708912655,76.3852997335512
"CRS3035RES50000mN1950000E2600000",2500.0189921628,284.916049711179,11.3965554103528
